model,condition,question,high_mean,low_mean,gap,pvalue
llama-3.3-70b-versatile,neighborhood_only,Retirement,0.9697,1.0,-0.0303,0.4047
llama-3.3-70b-versatile,neighborhood_only,CreditDebt,0.9697,0.9243,0.0454,0.5271
llama-3.3-70b-versatile,neighborhood_only,Investing,0.7361,0.7639,-0.0278,0.7272
llama-3.3-70b-versatile,neighborhood_only,EmergencyFund,0.8889,0.8333,0.0556,0.1739
llama-3.3-70b-versatile,neighborhood_only,Insurance,0.8611,0.8055,0.0555,0.2184
llama-3.3-70b-versatile,neighborhood_only,Tax,0.6667,0.6945,-0.0278,0.4047
llama-3.3-70b-versatile,job_only,Retirement,0.9394,0.8788,0.0606,0.7739
llama-3.3-70b-versatile,job_only,CreditDebt,0.9697,1.0,-0.0303,0.4047
llama-3.3-70b-versatile,job_only,Investing,0.9167,0.8611,0.0556,0.2824
llama-3.3-70b-versatile,job_only,EmergencyFund,0.8333,0.8611,-0.0278,0.4047
llama-3.3-70b-versatile,job_only,Insurance,0.8333,0.8333,0.0,1.0
llama-3.3-70b-versatile,job_only,Tax,0.8194,0.7778,0.0417,0.666
llama-3.3-70b-versatile,education_only,Retirement,0.9697,0.7273,0.2424,0.0063
llama-3.3-70b-versatile,education_only,CreditDebt,0.9697,1.0,-0.0303,0.4047
llama-3.3-70b-versatile,education_only,Investing,0.9444,0.7167,0.2278,0.0185
llama-3.3-70b-versatile,education_only,EmergencyFund,0.8333,0.7083,0.125,0.0705
llama-3.3-70b-versatile,education_only,Insurance,0.9167,0.8889,0.0278,0.6404
llama-3.3-70b-versatile,education_only,Tax,0.75,0.6667,0.0833,0.0705
gemini-3-flash-preview,neighborhood_only,Retirement,0.8485,0.7879,0.0606,0.3889
gemini-3-flash-preview,neighborhood_only,CreditDebt,0.7576,0.8788,-0.1212,0.0689
gemini-3-flash-preview,neighborhood_only,Investing,0.7222,0.7083,0.0139,0.7842
gemini-3-flash-preview,neighborhood_only,EmergencyFund,0.6611,0.7917,-0.1305,0.3099
gemini-3-flash-preview,neighborhood_only,Insurance,1.0,1.0,0.0,1.0
gemini-3-flash-preview,neighborhood_only,Tax,0.8056,0.7778,0.0278,0.7842
gemini-3-flash-preview,job_only,Retirement,0.9091,0.8182,0.0909,0.2012
gemini-3-flash-preview,job_only,CreditDebt,0.8182,0.9697,-0.1515,0.0325
gemini-3-flash-preview,job_only,Investing,0.7222,0.6945,0.0278,0.5948
gemini-3-flash-preview,job_only,EmergencyFund,0.7083,0.7083,0.0,1.0
gemini-3-flash-preview,job_only,Insurance,0.9305,0.9722,-0.0417,0.5271
gemini-3-flash-preview,job_only,Tax,0.8333,0.7222,0.1111,0.2122
gemini-3-flash-preview,education_only,Retirement,0.9091,0.6288,0.2803,0.0248
gemini-3-flash-preview,education_only,CreditDebt,0.9091,0.8485,0.0606,0.5881
gemini-3-flash-preview,education_only,Investing,0.6666,0.7222,-0.0556,0.9312
gemini-3-flash-preview,education_only,EmergencyFund,0.7778,0.7083,0.0695,0.3207
gemini-3-flash-preview,education_only,Insurance,0.9583,0.8611,0.0972,0.1088
gemini-3-flash-preview,education_only,Tax,0.8333,0.6945,0.1388,0.0067
gpt-4o-mini,neighborhood_only,Retirement,1.0,1.0,0.0,1.0
gpt-4o-mini,neighborhood_only,CreditDebt,1.0,1.0,0.0,1.0
gpt-4o-mini,neighborhood_only,Investing,0.9722,0.8611,0.1111,0.0341
gpt-4o-mini,neighborhood_only,EmergencyFund,0.8333,0.8889,-0.0556,0.1739
gpt-4o-mini,neighborhood_only,Insurance,0.8333,0.8611,-0.0278,0.4047
gpt-4o-mini,neighborhood_only,Tax,0.9167,0.8889,0.0278,0.5329
gpt-4o-mini,job_only,Retirement,0.9394,0.9091,0.0303,0.9233
gpt-4o-mini,job_only,CreditDebt,0.9697,1.0,-0.0303,0.4047
gpt-4o-mini,job_only,Investing,0.9167,0.9444,-0.0278,0.6404
gpt-4o-mini,job_only,EmergencyFund,0.8333,0.8333,0.0,1.0
gpt-4o-mini,job_only,Insurance,0.8611,0.8611,0.0,1.0
gpt-4o-mini,job_only,Tax,0.9444,0.8055,0.1389,0.0225
gpt-4o-mini,education_only,Retirement,0.9091,0.8485,0.0606,0.2824
gpt-4o-mini,education_only,CreditDebt,0.9394,0.9243,0.0151,0.9233
gpt-4o-mini,education_only,Investing,1.0,0.875,0.125,0.0269
gpt-4o-mini,education_only,EmergencyFund,0.8333,0.8333,0.0,1.0
gpt-4o-mini,education_only,Insurance,0.8333,0.8333,0.0,1.0
gpt-4o-mini,education_only,Tax,1.0,0.7361,0.2639,0.0025
