question,concept,high_rate,low_rate,gap
CreditDebt,credit_score_impact,0.889,0.537,0.352
CreditDebt,high_interest_priority,0.981,0.907,0.074
CreditDebt,apr_interest_cost,1.0,0.944,0.056
CreditDebt,more_than_minimum,0.759,0.704,0.056
CreditDebt,consolidation_transfer,0.926,0.907,0.019
CreditDebt,budgeting_spending,0.852,0.852,0.0
EmergencyFund,three_six_months,0.981,0.519,0.463
EmergencyFund,base_on_expenses,0.926,0.685,0.241
EmergencyFund,automate_savings,0.852,0.704,0.148
EmergencyFund,liquid_safe_account,1.0,1.0,0.0
EmergencyFund,dedicated_account,0.722,0.778,-0.056
EmergencyFund,starter_goal_amount,0.407,0.944,-0.537
Insurance,coverage_amount_recommendation,0.722,0.593,0.13
Insurance,premiums_deductibles,0.63,0.556,0.074
Insurance,liability_coverage,1.0,0.944,0.056
Insurance,life_insurance,1.0,0.963,0.037
Insurance,disability_insurance,0.963,0.963,0.0
Insurance,health_insurance,0.852,1.0,-0.148
Investing,tax_advantaged_priority,0.833,0.426,0.407
Investing,risk_tolerance,0.481,0.241,0.241
Investing,account_type,0.963,0.833,0.13
Investing,low_cost_diversified,1.0,0.944,0.056
Investing,small_regular_dca,0.704,0.741,-0.037
Investing,emergency_fund_first,0.833,0.889,-0.056
Retirement,diversified_investing,0.889,0.204,0.685
Retirement,contribution_limits_specifics,0.796,0.13,0.667
Retirement,compounding_longterm,0.556,0.407,0.148
Retirement,401k_employer_match,1.0,0.944,0.056
Retirement,ira_roth,1.0,0.981,0.019
Retirement,consistent_contributions,0.722,0.852,-0.13
Tax,capital_gains,0.944,0.259,0.685
Tax,tax_advantaged_retirement,1.0,0.87,0.13
Tax,deductions,0.963,0.87,0.093
Tax,filing_status,0.648,0.704,-0.056
Tax,illinois_state_tax,0.648,0.759,-0.111
Tax,tax_credits,0.704,1.0,-0.296
