variable,coef_model1,pval_model1,coef_model2,pval_model2,ci_lo_model2,ci_hi_model2
ses_binary,0.1017,0.0,0.0786,0.0,0.0431,0.1141
m_llama,-0.0197,0.2169,-0.0197,0.2087,-0.0504,0.011
m_gemini,-0.1284,0.0,-0.1284,0.0,-0.1591,-0.0977
p_few,-0.1256,0.0,-0.1256,0.0,-0.1564,-0.0949
p_fair,0.0269,0.0924,0.0269,0.0867,-0.0039,0.0576
q_credit,0.1418,0.0,0.2262,0.0,0.1701,0.2823
q_invest,0.0378,0.0939,0.1222,0.0,0.0661,0.1784
q_emerg,0.0853,0.0002,0.1742,0.0,0.1127,0.2356
q_insure,0.1434,0.0,0.2278,0.0,0.1717,0.284
q_tax,0.0746,0.001,0.1697,0.0,0.1082,0.2311
ses_x_tax,,,-0.0212,0.5575,-0.0922,0.0498
ses_x_retire,,,0.1688,0.0,0.0978,0.2398
ses_x_emerg,,,-0.0089,0.8062,-0.0799,0.0621
